premise	hypothesis	prediction	label
After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.	Don Juan de Esquivel murdered Diego in 1505 in order to become Governor.	2	0
But if you take it seriously, the anti-abortion position is definitive by definition.	People usually don't take anti-abortion positions seriously.	0	2
Palestrina , by Hans Pfitzner, performed by the Royal Opera (Metropolitan Opera House, New York).	Palestrina will be performed in New York by the Royal Opera.	2	1
so well i think we've taken up at least five minutes	You've taken up the last 5 minutes.	1	2
John Kasich dropped his presidential bid.	John Kasich recommitted himself to the presidential bid and plans on winning.	2	0
This fellow is flying a hot air balloon and suddenly realizes he is lost.	This fellow is flying a hot air balloon and knows of his own whereabouts.	1	0
They look just as good as new." They cut them carefully and ripped away the oilskin.	They look really old even though they're new.	1	0
World demand increased with the growth of the motor-car and electrical industries, and sky-rocketed during World War I. By 1920, Malaya was producing 53 percent of the world's rubber, which had overtaken tin as its main source of income.	In 1920 Malaya produced the majority of rubber in the world, beating out tin for how much money it made the country.	2	1
yes it is kind it is family and it's fun it's a fun thing and kids enjoy that and	It involves the family, it is fun, and kids love that.	2	1
uh-huh so do you have to get a shade tolerant grass is that what you're	All grass seed needs full sun to grow.	2	0
i i have some feelings about it in the sense that i feel if a person is guilty beyond a reasonable doubt and it's a really heinous crime i feel like the Bible says an eye for an eye	I have strong views on it when I think the crime merits the punishment.	2	1
The word itself, tapa, is translated as  lid  and derives from the old custom of offering a bite of food along with a drink, the food being served on a saucer sitting on top of the glass like a lid.	Tapas are large portions and are a very filling meal.	2	0
Also in Eustace Street is an information office and a cultural center for children, The Ark .	The Ark is primarily intended for children ages 5-13.	1	2
WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.	Whole life policies cover the entire life of the insured.	0	1
In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.	Hong Kong has a few unique dining experiences.	1	2
Cases in Comparative	Cases can be part of a legal matter.	1	2
profit rather	Making money rather.	2	1
Generally, FGD systems tend to be constructed closer to the ground compared to SCR technology retrofits.	FGD systems tend to replicate SCR systems.	1	0
It isn't, of course.	It is not, of course.	0	1
oh i enjoyed it i mean it was just more for my money	I didn't like it and it was too expensive.	2	0
We were playing all sorts of sports, and you were not, so shut up and stop twitching,' the microbe's tone of voice changed, it was lower and more resounding.	We have been busy filling out paperwork while you wasted time playing sports. 	1	0
On a December day in 1917, British General Allenby rode up to Jaffa Gate and dismounted from his horse because he would not ride where Jesus walked; he then accepted the surrender of the city after the Ottoman Turks had fled (the flag of surrender was a bed-sheet from the American Colony Hotel).	In 1917, the Brittish General Allenby surrendered the city using a bed-sheet before committing suicide.	1	0
Meet the Press host Tim Russert took his Christmas vacation five days early by letting Rep.	Tim Russert took an early vacation be letting no one know. 	0	2
On a December day in 1917, British General Allenby rode up to Jaffa Gate and dismounted from his horse because he would not ride where Jesus walked; he then accepted the surrender of the city after the Ottoman Turks had fled (the flag of surrender was a bed-sheet from the American Colony Hotel).	In 1917, the Brittish General Allenby surrendered the city using a bed-sheet.	1	0
