word;neg_count;pos_count;neg/tot;total
as we know;100;215;0.317;315
comparable to;1;1;0.5;2
film ultimately;57;162;0.26;219
have gone;19;53;0.264;72
have made it;2;1;0.667;3
his entire;43;113;0.276;156
his sense;1;1;0.5;2
hope to;221;727;0.233;948
ian;8;19;0.296;27
in manner;1;0;1.0;1
insecure;2;0;1.0;2
insecure in;1;0;1.0;1
loyalty and;1;2;0.333;3
make it great;2;6;0.25;8
may well;134;350;0.277;484
none can;31;70;0.307;101
nostalgia for the;1;5;0.167;6
of complex;182;550;0.249;732
abel;1;1;0.5;2
abel ferrara;1;0;1.0;1
agent;3;11;0.214;14
and high octane;3;10;0.231;13
and not one;52;181;0.223;233
and outer;1;2;0.333;3
and over;1;2;0.333;3
and pieces;6;16;0.273;22
band;2;1;0.667;3
by which;12;31;0.279;43
characterizations and;10;18;0.357;28
comfort in;9;15;0.375;24
comfortably;1;2;0.333;3
congratulatory;79;249;0.241;328
darker;5;7;0.417;12
darkly funny;1;0;1.0;1
destiny;2;13;0.133;15
director many;2;1;0.667;3
domestic abuse;3;3;0.5;6
fear dot com;140;405;0.257;545
few big;1;3;0.25;4
in your;23;71;0.245;94
incoherent;1;0;1.0;1
it is almost;6;29;0.171;35
janice beard;6;9;0.4;15
janklowicz;2;1;0.667;3
melodrama into something;5;18;0.217;23
mile;317;924;0.255;1241
most haunting;39;106;0.269;145
of nostalgic;6;4;0.6;10
of not;2;0;1.0;2
one man and;10;66;0.132;76
accuracy of;6;0;1.0;6
best this is;2;5;0.286;7
damaged people;1;1;0.5;2
film that will;1;2;0.333;3
indistinct;3;4;0.429;7
making;10;15;0.4;25
performances keep;1;2;0.333;3
poorly;13;30;0.302;43
alias betty is;60;193;0.237;253
also is;220;785;0.219;1005
amalgam;3;5;0.375;8
as cutting;2;1;0.667;3
college comedy;2;5;0.286;7
marina;1;2;0.333;3
of urgency;2;6;0.25;8
age drama;12;20;0.375;32
as well as;3;5;0.375;8
be sweet;4;15;0.211;19
contradictory;7;20;0.259;27
contrasting the;3;0;1.0;3
credit;68;188;0.266;256
ecks vs sever;3;3;0.5;6
girl power;20;46;0.303;66
give the;1;0;1.0;1
good hearted;3;13;0.188;16
grown;4;4;0.5;8
human face;1;0;1.0;1
is negligible;1;0;1.0;1
like so;3;8;0.273;11
like so much;3;8;0.273;11
menacing atmosphere;5;8;0.385;13
middle aged romance;1;5;0.167;6
neither the;2;3;0.4;5
nelson;2;3;0.4;5
power of the;10;17;0.37;27
authenticity of;18;66;0.214;84
awake;3;2;0.6;5
awakening;1;2;0.333;3
behan memoir;1;1;0.5;2
boredom;2;1;0.667;3
characters this;1;2;0.333;3
charms of;15;37;0.288;52
convincingly;8;24;0.25;32
cop drama;2;0;1.0;2
david and goliath;31;91;0.254;122
day to;1;0;1.0;1
day to day;1;0;1.0;1
down in;4;4;0.5;8
down memory;1;3;0.25;4
dramatic substance;5;14;0.263;19
dramatics;2;0;1.0;2
feel is;2;1;0.667;3
induces;8;24;0.25;32
inept;1;1;0.5;2
lesser works;41;84;0.328;125
members;6;29;0.171;35
memoir is;1;1;0.5;2
adopt;41;110;0.272;151
adroitly;1;0;1.0;1
adult;1;0;1.0;1
and carries;2;2;0.5;4
and it doesn;49;98;0.333;147
and life;3;1;0.75;4
bisset;2;0;1.0;2
boys has;2;2;0.5;4
claims;6;26;0.188;32
cliche ridden;2;1;0.667;3
compensate;1;2;0.333;3
competence;1;0;1.0;1
get kick;12;32;0.273;44
get kick out;1;0;1.0;1
halfway;34;88;0.279;122
horizons;1;0;1.0;1
importance;55;157;0.259;212
is matter of;2;7;0.222;9
jackson and;3;6;0.333;9
junkie;9;30;0.231;39
latest installment;3;14;0.176;17
made up;1;1;0.5;2
made with;1;1;0.5;2
made with an;1;0;1.0;1
malaise;1;4;0.2;5
material that;27;87;0.237;114
matter of taste;1;0;1.0;1
never gets;1;1;0.5;2
never have;1;1;0.5;2
octane;4;27;0.129;31
pain;16;41;0.281;57
advised;10;29;0.256;39
artifice and;1;0;1.0;1
artifice that;1;0;1.0;1
arty;1;0;1.0;1
at last;1;2;0.333;3
because she;1;0;1.0;1
because the;1;0;1.0;1
cast are;1;0;1.0;1
comedy of;5;7;0.417;12
excess in;1;0;1.0;1
fact that it;1;0;1.0;1
friendly;43;97;0.307;140
hideous;16;51;0.239;67
hilariously;1;1;0.5;2
it certainly an;8;17;0.32;25
its visual;7;18;0.28;25
long it;6;24;0.2;30
many recent;1;0;1.0;1
nature and;7;17;0.292;24
plot may;7;33;0.175;40
are not;10;33;0.233;43
are paper thin;2;3;0.4;5
but that;1;2;0.333;3
can see where;10;32;0.238;42
can swallow;4;2;0.667;6
frustrated;12;36;0.25;48
it nowhere near;2;0;1.0;2
of sense;1;3;0.25;4
or its;3;19;0.136;22
panic room;1;1;0.5;2
are at;2;1;0.667;3
authenticity;1;2;0.333;3
fury;11;29;0.275;40
ghoulish;16;46;0.258;62
goodfellas;2;0;1.0;2
like most;3;5;0.375;8
actors in;4;11;0.267;15
back to;1;2;0.333;3
be among the;23;46;0.333;69
be but;1;0;1.0;1
beautiful to;2;1;0.667;3
but if;3;15;0.167;18
by michel;11;27;0.289;38
chaotic;2;15;0.118;17
dire;8;29;0.216;37
enveloping;40;86;0.317;126
five years;2;4;0.333;6
fixating;2;2;0.5;4
gravity;2;6;0.25;8
gray;1;2;0.333;3
if it had;1;2;0.333;3
it is based;1;0;1.0;1
moldy;9;6;0.6;15
molly;1;0;1.0;1
not at;8;14;0.364;22
and uplifting;5;32;0.135;37
base;2;3;0.4;5
baseball;1;0;1.0;1
far better;8;22;0.267;30
far fetched;2;2;0.5;4
for everyone;4;23;0.148;27
for fans;4;21;0.16;25
for film;1;3;0.25;4
has been lost;60;210;0.222;270
has the feel;5;13;0.278;18
if the;3;7;0.3;10
informative;17;77;0.181;94
inner and;1;3;0.25;4
level of the;2;4;0.333;6
mean;1;0;1.0;1
not only does;76;208;0.268;284
not you;3;4;0.429;7
of pacino;1;0;1.0;1
physically;64;259;0.198;323
place;1;1;0.5;2
place alongside;1;1;0.5;2
aimed at;6;2;0.75;8
all by;3;1;0.75;4
at work;46;96;0.324;142
ball of;2;3;0.4;5
is movie you;1;2;0.333;3
and poignant;3;6;0.333;9
finding;3;6;0.333;9
made more;1;1;0.5;2
of cliches and;6;11;0.353;17
apted;8;25;0.242;33
ararat;1;1;0.5;2
arbitrary;1;1;0.5;2
be described;2;0;1.0;2
fizzles;2;8;0.2;10
flags;1;1;0.5;2
fondly remembered;2;2;0.5;4
jonah;2;2;0.5;4
abundance of;6;32;0.158;38
and should have;40;103;0.28;143
and sluggish;1;0;1.0;1
burr steers;1;8;0.111;9
but none;3;7;0.3;10
conduct;4;7;0.364;11
could;8;33;0.195;41
dolls;1;1;0.5;2
field and;12;45;0.211;57
funny comedy;7;27;0.206;34
jfk;4;7;0.364;11
jia;4;7;0.364;11
just gone;9;8;0.529;17
lifetime;15;49;0.234;64
me without you;1;1;0.5;2
nomination;7;19;0.269;26
by james;3;2;0.6;5
his best;1;5;0.167;6
angst;52;116;0.31;168
capable;2;0;1.0;2
carry;4;8;0.333;12
cinderella;21;63;0.25;84
cinema master;2;4;0.333;6
companion piece;1;1;0.5;2
detailed;8;15;0.348;23
details are;2;2;0.5;4
events that could;3;9;0.25;12
great deal of;9;30;0.231;39
great films about;4;4;0.5;8
in mystery;42;142;0.228;184
intermittently;2;1;0.667;3
not mean;7;19;0.269;26
of fun and;1;0;1.0;1
of the times;1;1;0.5;2
powers films;65;132;0.33;197
pretension in;4;5;0.444;9
pretentious;1;3;0.25;4
and humor and;3;4;0.429;7
as either;10;23;0.303;33
celebrates the human;2;7;0.222;9
cheap thriller;4;9;0.308;13
delivers what;1;4;0.2;5
deuces;23;45;0.338;68
doesn always;49;97;0.336;146
doesn need;1;1;0.5;2
earmarks;9;13;0.409;22
extravaganzas;1;0;1.0;1
have just;4;7;0.364;11
in as;1;0;1.0;1
is that there;7;7;0.5;14
ll feel;4;4;0.5;8
no interest;1;1;0.5;2
nose;3;5;0.375;8
not being;11;51;0.177;62
pleasant;3;6;0.333;9
portrayals that are;2;2;0.5;4
portraying;1;1;0.5;2
aftertaste;3;1;0.75;4
cycle;4;9;0.308;13
easier;1;0;1.0;1
movie final;1;0;1.0;1
opposed;1;7;0.125;8
opposed to the;1;3;0.25;4
bard;2;2;0.5;4
burkina faso;1;4;0.2;5
heart in;3;11;0.214;14
its heart in;4;6;0.4;10
knows how;7;14;0.333;21
like the;1;1;0.5;2
modern times;2;0;1.0;2
against itself;3;10;0.231;13
and deeper;17;63;0.212;80
and everything;2;1;0.667;3
anybody who;3;4;0.429;7
arnie;3;4;0.429;7
arnold;2;0;1.0;2
arnold is;2;0;1.0;2
brusqueness;1;0;1.0;1
carpenter ghosts of;1;1;0.5;2
disjointed;1;4;0.2;5
divine secrets;41;112;0.268;153
fantasy and;5;20;0.2;25
fantasy sequences;1;0;1.0;1
fascinating little;3;3;0.5;6
from hong kong;7;13;0.35;20
memory and;2;1;0.667;3
not for;7;23;0.233;30
not go;1;3;0.25;4
on subject;3;5;0.375;8
people;3;4;0.429;7
ahead of him;1;5;0.167;6
an unforgettable;1;1;0.5;2
at least one;11;18;0.379;29
epiphany;3;5;0.375;8
frame one;1;6;0.143;7
freight train of;10;42;0.192;52
gaps in;1;4;0.2;5
garbage;1;0;1.0;1
ideas about;1;1;0.5;2
is about as;9;15;0.375;24
is akin;2;1;0.667;3
is content;1;0;1.0;1
just can;4;15;0.211;19
be over;1;0;1.0;1
in 1915;2;0;1.0;2
is difficult;3;10;0.231;13
is undercut;3;8;0.273;11
is worse the;3;5;0.375;8
it lacks the;1;0;1.0;1
momentary;1;0;1.0;1
must have read;2;0;1.0;2
nijinsky;1;2;0.333;3
nijinsky diaries;1;2;0.333;3
packed with;1;4;0.2;5
packs;1;2;0.333;3
padded;1;0;1.0;1
acted by;2;11;0.154;13
acted by the;1;1;0.5;2
adam sandler;1;2;0.333;3
adams;1;1;0.5;2
and sickeningly;3;7;0.3;10
be much;3;12;0.2;15
conspicuous;1;0;1.0;1
cry for;19;35;0.352;54
discover;5;6;0.455;11
fast moving and;3;30;0.091;33
few good;1;1;0.5;2
for cable;8;11;0.421;19
in 1995;1;1;0.5;2
in reality;11;43;0.204;54
in recent years;1;0;1.0;1
inelegant;1;0;1.0;1
intelligent person to;2;4;0.333;6
intelligent romantic;1;2;0.333;3
intermingling;4;6;0.4;10
is instead;12;23;0.343;35
keep;4;23;0.148;27
movie or;3;1;0.75;4
muddy;2;6;0.25;8
mugs;1;0;1.0;1
my little;4;6;0.4;10
nor does;1;1;0.5;2
of certain;6;19;0.24;25
of chan;2;1;0.667;3
performer;3;8;0.273;11
ponderous and;1;3;0.25;4
diary;2;1;0.667;3
fears;4;11;0.267;15
it far;6;18;0.25;24
know what;2;0;1.0;2
are the;1;0;1.0;1
golf;18;35;0.34;53
in getting under;5;33;0.132;38
in his latest;1;1;0.5;2
like;2;6;0.25;8
my father;1;1;0.5;2
not much of;3;5;0.375;8
not single;1;0;1.0;1
our attention;1;0;1.0;1
papin;3;14;0.176;17
pearl;16;25;0.39;41
penchant;1;0;1.0;1
predictable as;7;5;0.583;12
pretty woman;1;0;1.0;1
and place;4;8;0.333;12
because you re;1;3;0.25;4
forgiveness;4;5;0.444;9
liven;2;2;0.5;4
overcomes its questionable;3;8;0.273;11
and spirit;5;22;0.185;27
coma;2;4;0.333;6
combination of bad;1;0;1.0;1
dark and;4;11;0.267;15
fused with;4;14;0.222;18
futile;1;4;0.2;5
is in the;1;3;0.25;4
it unlikely;2;1;0.667;3
morvern;1;1;0.5;2
morvern callar;1;0;1.0;1
mournfully;1;3;0.25;4
of acting;1;0;1.0;1
connect the;3;5;0.375;8
crisp and;3;5;0.375;8
from little;4;6;0.4;10
helmer;18;38;0.321;56
indie;1;5;0.167;6
it comes to;1;0;1.0;1
it lacks;3;0;1.0;3
it lacks in;1;0;1.0;1
not strictly;6;16;0.273;22
onto;10;10;0.5;20
open ended;1;0;1.0;1
and gross;8;32;0.2;40
bites;1;0;1.0;1
blood;12;16;0.429;28
blossom;6;6;0.5;12
bona fide;1;8;0.111;9
boobs;1;1;0.5;2
choice for;1;0;1.0;1
hollywood fantasies;2;4;0.333;6
hollywood fluff;1;2;0.333;3
it is still;3;2;0.6;5
jonze;6;19;0.24;25
numbingly dull;15;23;0.395;38
plain bad;11;23;0.324;34
portraying the;2;11;0.154;13
deeply felt;3;8;0.273;11
in january;5;20;0.2;25
move me;2;2;0.5;4
action cartoon;2;2;0.5;4
happy;26;61;0.299;87
it doesn take;1;0;1.0;1
lady and the;6;15;0.286;21
made from;1;0;1.0;1
or her;1;1;0.5;2
already seen this;1;0;1.0;1
audience members;1;0;1.0;1
deserves to be;2;1;0.667;3
doesn;2;2;0.5;4
end that;1;1;0.5;2
frames;9;16;0.36;25
goldie hawn;3;1;0.75;4
in between the;2;7;0.222;9
