premise	hypothesis	prediction	label
Executives do so by examining their internal environments and asking a series of questions about the problems that need fixing, how information technology and management can help, and how a CIO might best fit within their management structures to guide technology solutions.	A CIO should guide technology solutions based on a company's internal environment.	1	1
Randy's Anecdotal Wrap-Up	Randy's Conclusions	1	1
Then he is very sure. 	He is very sure because someone told him.	2	2
Our review indicates that the Food and Drug Administration complied with the applicable requirements.	The FDS has suggestions but no regulations.	0	0
4) Not enough is known about how nontransportation costs vary with distance.	The ways in which distance affects nontransportation costs is a subject we don't have enough information on.	1	1
i think we have too thank you very much you too bye-bye	I think we need to thank you as well.	1	1
Guangzhou, with a population of more than 5 million, straddles the Pearl River China's fifth longest which links the city to the South China Sea.	Pearl River is the fifth longest river in China.	1	1
uh i don't know i i have mixed emotions about him uh sometimes i like him but at the same times i love to see somebody beat him	He is my favorite and I never want to see anyone beat him.	0	0
yeah well Rochester's like right on the shores isn't it	Rochester is far from the water.	0	0
It's a great novelty, but very expensive.	The novelty comes at a large price.	1	1
The island has a long history; its marble deposits were coveted around the ancient world.	In 2000 B.C.E the marble was highly desirable.	2	2
Great mistake to say too much.	The best thing to do was to say everything they knew.	0	0
and you back in you know and or just pull into your spot and uh some you can rent by the year some you can rent daily or nightly or by the week or whatever	The only way of renting them is monthly.	0	0
Do you want to see historic sights and tour museums and art galleries?	Since you love learning new things, would you like to visit some historic places, museums, and art galleries?	2	2
Just east of the Star Ferry terminal, you'll come to CityHall.	The City Hall was built so close to the terminal to help visitors find City Hall easily.	2	2
they just didn't watch him on TV	They watched him on TV all the time. 	0	0
The first installment of the Star Wars Trilogy Special Edition opened in theaters everywhere.	The second installment of Star Wars is in theaters. 	0	0
In America, his colleagues are mostly defeated (Miss Mudd, his predecessor on his first job, has retired early in disgust) when they aren't sadistic.	When his colleagues aren't sadistic, they are mostly defeated, so that is why the system is changing.	2	2
For example, service coordination is a popular remedy for limited funds.	There are no ways to overcome fund limitation.	0	0
 Jon sat down on the ground cross legged.	The man was standing on the ground.	0	0
Oh my God, I'm actually intimidated by a Simulacra.	I am intimidated by Simulacra because he killed my father. 	2	2
Err...I don't know.	I know.	0	0
oh really i was um i was TDY at Bent Waters	I enjoyed my temporary duty at Bent Waters. 	2	2
They were so sure of themselves that they took it for granted he had made a mistake."	They simply assumed that he'd made a mistake.	1	1
Auditors may use an engagement letter, if appropriate, to communicate the information.	Auditors may not use an engagement letter to communicate.	0	0
In 1923, Turkey broke away from the tired Ottoman rulers, and Kemal Ataturk rose to power on a wave of popular support.	Many people supported Kemal Ataturk in everything he chose to do.	2	2
No one would ever think of sentiment in connection with you.	Everyone would expect sentiment when connecting with you.	0	0
oh that might be kind of interesting is it	I'm not sure if it will actually be interesting.	2	2
Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.	They fisherman caught 500 pounds of fish today. 	2	2
audits and other reviews, including those showing deficiencies and recommendations reported by auditors and others who evaluate agencies' operations, (2) determine proper actions in response to findings and recommendations from audits and reviews, and (3) complete, within established time frames, all actions that correct or otherwise resolve the matters brought to management's attention.	The findings of the audits and reviews do not lead to further action.	0	0
Today the strait is busy with commercial shipping, ferries, and fishing boats, and its wooded shores are lined with pretty fishing villages, old Ottoman mansions, and the villas of Istanbul's wealthier citizens.	Today, the strait is empty after a huge sand storm killed everyone there.	0	0
how long has he been in his present position	How long has did he hold his last position?	0	0
Do you think I should be concerned?	Do you think I should be confident?	0	0
but you're without a paycheck during that time and i don't at least that's my understanding is even you know the first time you go for counseling and it's six weeks before you're back to work	I don't think you lose any money if you got to counciling.	0	0
No. I guess I'm going too.	I guess I'm going since my sister is.	2	2
I don't know what I would have done without Legal Services, said James. 	James said Legal Services helped him a lot.	1	1
Instead, the task of defending Bradley fell to Erving, who shrugged that it's probably a debatable issue, but knowing Sen.	Erving was a new attorney who didn't have a lot of courtroom experience.	2	2
so uh i hope you like your office	I wish you hate your office so much.	0	0
There 214 was some talk of sending me to a specialist in Paris.	It was suggested that I go to Paris to visit with a specialist	1	1
The program covers those units covered by the new nationwide sulfur dioxide trading program that are located in the States in the WRAP and that, in any year starting in 2000, emit more than 100 tons of sulfur dioxide and are used to produce electricity for sale.	The program covers units covered by the nationwide sulfur dioxide trading program.	1	1
It is nice to be reminded that people remember.	No one cared or remembered.	0	0
It also describes the results of the scenario analysis, both in terms of the various marginal costs associated with emission control strategies and the economy-wide impact of each scenario.	It gives a breakdown of both the costs and impacts of the scenarios.	1	1
It incorporates a risk assessment methodology intended to reduce audit planning time and ensure that significant issues are included.	It mixes a risk assessment methodology into the process to ensure that significant issues are included.	1	1
The street ends at Taksim Square (Taksim Meydane), the heart of modern Istanbul, lined with luxurious five-star hotels and the glass-fronted Ataturk Cultural Centre (Ataturk Keleter Sarayy), also called the Opera House.	The street is quite a luxurious one.	1	1
Two is enough for a secret.	A secret needs two people. 	1	1
I hate pigeons.	My feelings towards pigeons are filled with animosity.	1	1
There would be little benefit to national saving from allowing early access to mandatory accounts with set contribution levels-which has been proposed for Social Security (see Q4.	There would be happier people to national saving.	2	2
That first glimpse of the towering, steepled abbey rising from the sea on its rock is a moment you will not forget.	The abbey is not of great height and lacks a steeple.	0	0
It's easy to overdose on the many temples, palaces, and museums in India.	Many temples and palaces are free to visit in the country.	2	2
okay i guess we're on	I think I'll have to cancel.	0	0
New York 's John Leonard calls Oz an ecology and anthropology of terror, not for the faint of heart or the queasy of stomach ...	John Leonard of New York has a great opinion for those interested in Oz.	2	2
Base year data will be actual receipt and outlay data for the last completed fiscal year	Base year data will give important economic information.	1	1
The baker was not jolly.	The baker wasn't very cheerful because he was sick.	2	2
They're taking us away this morning.	We will not be leaving until tomorrow.	0	0
It has long been influenced by their differing traits, and has assimilated their various customs and practices.	Their unique traits has created many customs and practices.	1	1
Such multicolored reef dwellers as the parrotfish and French angelfish, along with weirdly shaped coral, crawfish, or turtles hiding in crevices, can be yours for the viewing in these clear waters where visibility of 30 m (100 ft) is common.	It's often hard to see turtles because they are so well-hidden.	2	2
oh that sounds interesting too	That is not very attention grabbing. 	0	0
I thought working on Liddy's campaign would be better than working on Bob's.	Liddy did not have a campaign.	0	0
Local legend claims that he wrote part of his great saga, Os Lusadas, in what is now called the Camees Grotto, situated in the spacious tropical Camees Garden.	It is claimed that a portion of Os Lusadas was written in the Camees Grotto.	1	1
These traditional low-drafted craft ply effortlessly and quietly through the water guided by their experienced pilots.	Experienced pilots pilot these low-drafted craft.  	1	1
Palestrina , by Hans Pfitzner, performed by the Royal Opera (Metropolitan Opera House, New York).	Hans Pfitzner did not write Palestrina, which will be performed in New York. 	0	0
i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school	There are significant differences between the background of the children attending the school.	1	1
GAO's recommendations are intended to improve the economy, efficiency, and effectiveness of an agency's operations and to improve the accountability of the federal government for the benefit of the American people.	The GAO works for the benefit of the American people and it's government agencies.	1	1
but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head	I'm sure it wouldn't take very long to question the person.	2	2
Enlarging the village was not desirable and most knew that Severn only desired wealth and a seat on the council of elders.	Severn was happy being poor.	0	0
If you have the energy to climb the 387 steps to the top of the south tower, you will be rewarded with a stunning view over the city.	There is a great view at the top of the steps.	1	1
Among the disadvantages are that the degree of innovation and product differentiation might continue to be limited.	The disadvantages of a poorly educated workforce include limited innovation. 	2	2
'I really don't feel comfortable around people who enjoy making speeches.'	People who like giving speeches make me uncomfortable. 	1	1
Recently I met a guy at a party over at San Barenakedino's.'	I met a guy at a party that I went to. 	1	1
Some are reported as not having been wanted at all.	Some are reported as not having been wanted at all due to breakage.	2	2
You know.	You know, because you were told.	2	2
Just as in ancient times, without the River Nile, Egypt could not exist.	Many Egyptians take for granted how important the nile river is.	2	2
They are the four sentences you always insert in plagiarized papers to throw the professor off track.	If you put these four sentences into your paper, professors will immediately know that it's been plagiarized.	0	0
One he broke back to about the length of his forearm.	He snapped a twig so it was the same length as his forearm.	2	2
[Requires free registration.	Does not require free registration. 	0	0
There would be little benefit to national saving from allowing early access to mandatory accounts with set contribution levels-which has been proposed for Social Security (see Q4.	There would be little benefit to national saving	1	1
Sitting up at night is always rather jumpy, she confessed.	She confessed to her cat, "Sitting up at night is a rather jumpy experience."	2	2
A 1994 Roper Poll concluded that the NewsHour is perceived by the public as the most credible newscast in the country.	A 1984 Poll concluded NewsHour is seen as the least credible newscast by the public.	0	0
Blessed with preternatural gregariousness, good humor, and a love of attention, he's been tireless about pursuing both celebrity and the cause of popular history ever since.	He was very outgoing and extroverted, as well as nice to be around.	1	1
The Commission published a summary of its Final Regulatory Flexibility Analysis in the Federal Register on September 12, 1996 (61 Fed.	A Final Regulatory Flexibility Analysis was published by the Commission in 1996	1	1
but i think a lot of kids it's funny get the same kind of fears like there's somebody under the bed	I believe that many children think it's amusing, the similar uneasiness that there's someone beneath the bed.	1	1
oh no no they're not fired they there are they have one chance to then go in a program if you come back positive you have one chance to go in and go into they have a lot of uh rehabilitation both for alcohol and for drug use uh and they have uh a lot of uh they they have an agency where you can go for personal problems financial or whatever	There has been several people who had to go for rehabilitation last year.	2	2
I like ethnic humor.	i like jokes making fun of Asian people	2	2
Or to judge by the  Failing to nurse at night can lead to painful engorgement or even breast infection.	Mothers should nurse at night.	1	1
Both initial and supplemental proposed rule publications invited comments on the information collection requirements imposed by the rule.	Every comment is thoughtfully read and considered.	2	2
Even the most aged and infirm travel here to die, for nothing is more blessed for a devout Hindu than to die in the great waters of the Varanasi and thus be released from the eternal cycle of rebirth.	There is nothing special to Hindus about the water of the Varanasi.	0	0
Every August young women convene to light joss sticks and some even climb the nine-meter (30-ft) rock to pray for good husbands.	Women do not light joss sticks nor do the climb the rock to pray.  	0	0
when there was the ball that was sort of hit to Buckner to Buckner	The ball was hit to Buckner.	1	1
Monday's Question (No.	There was a question on Monday.	1	1
i think yeah and it's a just a nice escape and you know it's something to laugh at and enjoy	I think it's an escape that can be enjoyed.	1	1
Today it is possible to walk through the old agora (marketplace) and stroll along Roman roads.	Thre is nothing left today of the old Roman roads. 	0	0
Don't you remember? Today we're going to auntie Basia's birthday party.'	We are going to Aunt Basia's birthday party today, remember?	1	1
To accommodate these fluctuations and use resources evenly, it would seem reasonable to offer two tiers of  rapid and deferred, with air transportation being used for the rapid product.	air transportation is cited as a viable option for the rapid product option.	1	1
yeah and crawl through it	I will not be crawling through anything.	0	0
and it just depends on how bad that person is	It depends on the condition of the person.	1	1
um-hum with the ice yeah	Correct with the frozen water (ice).	1	1
Did the ancestors of the Indians really come from Asia over the Aleutian land bridge?	I wonder if the Indians ancestors actually came over the Aleutian land bridge? 	1	1
it's neat when you think about how she wrote it and stuff otherwise the lyrics are kind of	The way she wrote it isn't interesting at all. 	0	0
Others are Zao (in Tohoku) and a number of resorts in Joshin-etsu Kogen National Park in the Japan Alps, where there are now splendid facilities thanks to the 1998 Winter Olympic Games in Nagano.	The national park is just for camping.	0	0
My unborn children will never appear on the Today show.	I would not wish for anyone I know to be on the Today show.	2	2
To control land and sea routes to the south, the Mauryas still needed to conquer the eastern kingdom of Kalinga (modern Orissa).	The Mauryas had a large army capable of conquering Kalinga.	2	2
Well aware of the island's burgeoning wealth and repository of supplies, the French pirate Bertrand de Montluc sailed into Funchal harbor with his 11-galleon armada and 1,300 men.	Bertrand de Montluc arrived at the island with a great force of men.	1	1
A niche incumbent might provide delivery less frequently or to a subset of possible stops.	Deliveries could not possibly be reduced below their current levels.	0	0
One of them, darker skinned, had hair braided into two lines.	They braid their hair to keep it out of the way during combat.	2	2
Pro-Microsoft analysts spin this as a heroic sacrifice, removing the lightning rod whose seemingly disingenuous testimony has ostensibly driven the DOJ to the verge of demanding the company's breakup.	Pro-Microsoft analysts say that was a sacrifice for the company.	1	1
AC Green's pretty good	AC Green's a horrible player.	0	0
my parents uh were sailing uh this last year down off uh Costa Rica and they took about two weeks and went into i don't even know the name of the river there but they went white water rafting and Mom said it was absolutely just a wonderful experience she said it was truly incredible	This last year my parents went sailing near Costa Rica.	1	1
Acquaintances of mine have become Orthodox because of the codes.	Some of my friends have converted to other religions.	2	2
At the end of the show is a cluster of popular sportswear with Tommy Hilfiger, Donna Karan, Nautica, the Gap, and such names applied to it.	Tommy Hilfiger, Donna Karan, and the Gap produce popular sportswear.	1	1
The show, which begins each evening at 9:00 p.m. , relates in melodramatic fashion the history of Istanbul while coloured floodlights illuminate the spectacular architecture of the Blue Mosque.	The show lasts for two and a half hours.	2	2
So they set about clearing the land for agriculture, setting fire to massive tracts of forest.	As a result, the land was devastated by erosion.	2	2
Nothing prior to May 7, 1915.	Everything is before May 7, 1915.	0	0
Adrin nodded.	Adrin nodded his head.	1	1
The purpose of this paper is to analyze rural delivery costs and compare them with city delivery costs.	Rural delivery is more expensive than city.	2	2
In a further role reversal, Gingrich may have positioned himself to fill it.	Gingrich may fill the position. 	1	1
Moreover, these excise taxes, like other taxes, are determined through the exercise of the power of the Government to compel payment.	Government ability to compel payment is something that politicians have traditionally been reluctant to exercise.	2	2
but i think let's see the teams that were there last year were see somebody from California i don't even know who won the pennant last year	I'm not really interested in last year's teams because I know who the winner was and that's all that counts.	0	0
